+-------+-----+-----+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+-------------+-------------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)  |  AVG(BODY)  |
+-------+-----+-----+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+-------------+-------------+
| 61    | 0   | 7   | 0   | 54  | 0   | GET    | /                  | 0.915 | 9.998 | 521.916 | 8.556 | 9.992 | 9.997 | 9.998 | 2.749  | 0.000       | 36343.000   | 250046.000  | 4099.115    |
| 58    | 0   | 0   | 58  | 0   | 0   | POST   | /login             | 0.003 | 2.015 | 37.069  | 0.639 | 1.353 | 1.819 | 2.015 | 0.524  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@kara             | 9.999 | 9.999 | 9.999   | 9.999 | 9.999 | 9.999 | 9.999 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@avis             | 9.998 | 9.998 | 9.998   | 9.998 | 9.998 | 9.998 | 9.998 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@martha           | 9.997 | 9.997 | 9.997   | 9.997 | 9.997 | 9.997 | 9.997 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@noelle           | 9.996 | 9.996 | 9.996   | 9.996 | 9.996 | 9.996 | 9.996 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@josephine        | 9.993 | 9.993 | 9.993   | 9.993 | 9.993 | 9.993 | 9.993 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@dora             | 9.992 | 9.992 | 9.992   | 9.992 | 9.992 | 9.992 | 9.992 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@gay              | 9.989 | 9.989 | 9.989   | 9.989 | 9.989 | 9.989 | 9.989 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@opal             | 9.982 | 9.982 | 9.982   | 9.982 | 9.982 | 9.982 | 9.982 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
